Region,category,cat_score,childRegions,RId
Albania  Kosovo,culture,3.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,culinary,3.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,Weeks to Upper Quantile,1.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,average weekly cost,0.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,shopping,2.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,wintersports,1.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,Safety from crime,3.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,entertainment,2.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,watersports,2.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,beach,3.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
