Nrun,Variant,Input,Score,Nregions,EvaluatedRegions,EvaluatedCombinations,Totaltime,SuggestedRegions,SuggestedDuration,SuggestedBudget
0,1,1,18.0,1,122,277,129.98,Qatar and Bahrain,Qatar and Bahrain-1.0,Qatar and Bahrain-525.0
0,1,1,26.0,2,122,277,129.98,Argentina; Paraguay,Argentina; Paraguay-1.0; 1.0,Argentina; Paraguay-400.0; 400.0
0,1,1,16.0,1,122,277,129.98,Indonesia,Indonesia-2.0,Indonesia-400.0
0,1,1,13.0,1,122,277,129.98,Libya,Libya-1.0,Libya-500.0
0,1,1,16.0,1,122,277,129.98,Indonesia,Indonesia-2.0,Indonesia-400.0
1,1,1,17.0,1,126,232,139.22,Sri Lanka,Sri Lanka-1.0,Sri Lanka-360.0
1,1,1,14.0,1,126,232,139.22,Brazil,Brazil-1.0,Brazil-625.0
1,1,1,20.0,1,126,232,139.22,Thailand South,Thailand South-1.0,Thailand South-375.0
1,1,1,17.0,1,126,232,139.22,Taiwan,Taiwan-1.0,Taiwan-510.0
2,1,1,20.0,1,121,246,125.76,Thailand South,Thailand South-1.0,Thailand South-375.0
2,1,1,32.0,2,121,246,125.76,Eastern Europe; North Europe,Eastern Europe; North Europe-1.0; 1.0,Eastern Europe; North Europe-350.0; 0.0
2,1,1,17.0,1,121,246,125.76,Mexico Yucatan,Mexico Yucatan-1.0,Mexico Yucatan-415.0
2,1,1,12.0,1,121,246,125.76,Benelux,Benelux-1.0,Benelux-420.0
3,1,1,16.0,1,115,227,213.42,Myanmar,Myanmar-2.0,Myanmar-450.0
3,1,1,27.0,2,115,227,213.42,Botswana; Mozambique and Zimbabwe,Botswana; Mozambique and Zimbabwe-1.0; 1.0,Botswana; Mozambique and Zimbabwe-560.0; 350.0
3,1,1,17.0,1,115,227,213.42,Mexico Yucatan,Mexico Yucatan-1.0,Mexico Yucatan-415.0
4,1,1,25.0,2,126,291,131.84,USA; USA Rocky Mountains,USA; USA Rocky Mountains-1.0; 1.0,USA; USA Rocky Mountains-600.0; 0.0
4,1,1,20.0,1,126,291,131.84,Lesser Antilles,Lesser Antilles-1.0,Lesser Antilles-575.0
4,1,1,19.0,1,126,291,131.84,Comoros  Mayotte  Mauritius  Reunion,Comoros  Mayotte  Mauritius  Reunion-1.0,Comoros  Mayotte  Mauritius  Reunion-525.0
4,1,1,16.0,1,126,291,131.84,Costa Rica,Costa Rica-1.0,Costa Rica-400.0
0,1,2,11.0,1,133,263,137.92,USA Alaska,USA Alaska-1.0,USA Alaska-975.0
0,1,2,10.0,1,133,263,137.92,Israel,Israel-1.0,Israel-420.0
0,1,2,11.0,1,133,263,137.92,Iceland and Faroe Islands,Iceland and Faroe Islands-1.0,Iceland and Faroe Islands-560.0
0,1,2,10.0,1,133,263,137.92,Israel,Israel-1.0,Israel-420.0
1,1,2,10.0,1,136,266,149.88,Germany,Germany-1.0,Germany-420.0
1,1,2,27.0,3,136,266,149.88,Nepal; Maldives; India,Nepal; Maldives; India-1.0; 1.0; 1.0,Nepal; Maldives; India-0.0; 0.0; 350.0
1,1,2,22.0,2,136,266,149.88,Canada Ontario; Canada,Canada Ontario; Canada-1.0; 1.0,Canada Ontario; Canada-0.0; 725.0
2,1,2,8.0,1,129,239,149.18,Lebanon and Syria,Lebanon and Syria-1.0,Lebanon and Syria-350.0
2,1,2,23.0,2,129,239,149.18,Brazil; Peru,Brazil; Peru-1.0; 2.0,Brazil; Peru-625.0; 350.0
2,1,2,10.0,1,129,239,149.18,Greenland,Greenland-1.0,Greenland-975.0
3,1,2,26.0,2,133,243,157.44,Bolivia; Peru,Bolivia; Peru-1.0; 2.0,Bolivia; Peru-310.0; 350.0
3,1,2,18.0,2,133,243,157.44,Japan; North Korea,Japan; North Korea-1.0; 1.0,Japan; North Korea-560.0; 0.0
3,1,2,23.0,2,133,243,157.44,USA California; USA Alaska,USA California; USA Alaska-1.0; 1.0,USA California; USA Alaska-0.0; 975.0
3,1,2,12.0,1,133,243,157.44,South Africa,South Africa-1.0,South Africa-385.0
4,1,2,18.0,2,123,253,153.07,Indonesia; West Malaysia and Singapur,Indonesia; West Malaysia and Singapur-2.0; 1.0,Indonesia; West Malaysia and Singapur-400.0; 510.0
4,1,2,20.0,2,123,253,153.07,Nicaragua; Costa Rica,Nicaragua; Costa Rica-1.0; 1.0,Nicaragua; Costa Rica-250.0; 400.0
4,1,2,10.0,1,123,253,153.07,Sweden and Denmark,Sweden and Denmark-1.0,Sweden and Denmark-525.0
0,1,3,25.0,2,125,298,144.61,Madagascar; Mozambique and Zimbabwe,Madagascar; Mozambique and Zimbabwe-2.0; 1.0,Madagascar; Mozambique and Zimbabwe-350.0; 350.0
0,1,3,17.0,1,125,298,144.61,Qatar and Bahrain,Qatar and Bahrain-1.0,Qatar and Bahrain-525.0
0,1,3,33.0,2,125,298,144.61,Benelux; Germany,Benelux; Germany-1.0; 1.0,Benelux; Germany-420.0; 420.0
0,1,3,14.0,1,125,298,144.61,Finland,Finland-1.0,Finland-525.0
0,1,3,19.0,1,126,291,162.92,France,France-1.0,France-420.0
0,1,3,19.0,1,126,291,162.92,France,France-1.0,France-420.0
0,1,3,48.0,3,126,291,162.92,Eastern Europe; British Islands; Central Europe,Eastern Europe; British Islands; Central Europe-1.0; 1.0; 1.0,Eastern Europe; British Islands; Central Europe-350.0; 420.0; 0.0
0,1,3,20.0,1,126,291,162.92,Taiwan,Taiwan-1.0,Taiwan-510.0
1,1,3,21.0,1,133,213,133.81,Japan,Japan-1.0,Japan-560.0
1,1,3,17.0,1,133,213,133.81,Switzerland and Liechtenstein,Switzerland and Liechtenstein-1.0,Switzerland and Liechtenstein-750.0
1,1,3,16.0,1,133,213,133.81,Cuba,Cuba-1.0,Cuba-350.0
2,1,3,21.0,1,137,269,142.43,Japan,Japan-1.0,Japan-560.0
2,1,3,13.0,1,137,269,142.43,Papua New Guinea,Papua New Guinea-2.0,Papua New Guinea-750.0
2,1,3,30.0,2,137,269,142.43,Lebanon and Syria; United Arab Emirates,Lebanon and Syria; United Arab Emirates-1.0; 1.0,Lebanon and Syria; United Arab Emirates-350.0; 525.0
3,1,3,16.0,1,119,232,145.22,Iran,Iran-2.0,Iran-350.0
3,1,3,15.0,1,119,232,145.22,Paraguay,Paraguay-1.0,Paraguay-400.0
3,1,3,28.0,2,119,232,145.22,Nepal; India,Nepal; India-1.0; 1.0,Nepal; India-0.0; 350.0
4,1,3,17.0,1,133,312,143.9,Mexico Yucatan,Mexico Yucatan-1.0,Mexico Yucatan-415.0
4,1,3,13.0,1,133,312,143.9,Polynesia,Polynesia-1.0,Polynesia-800.0
4,1,3,20.0,1,133,312,143.9,Taiwan,Taiwan-1.0,Taiwan-510.0
4,1,3,19.0,1,133,312,143.9,West Malaysia and Singapur,West Malaysia and Singapur-1.0,West Malaysia and Singapur-510.0
0,2,1,11.0,1,13,200,160.38,Greenland,Greenland-1.0,Greenland-975.0
0,2,1,11.0,1,13,200,160.38,Greenland,Greenland-1.0,Greenland-975.0
0,2,1,15.0,2,13,200,160.38,Central Africa; Sahel East,Central Africa; Sahel East-2.0; 1.0,Central Africa; Sahel East-500.0; 0.0
1,2,1,11.0,1,13,164,149.34,Greenland,Greenland-1.0,Greenland-975.0
1,2,1,11.0,1,13,164,149.34,Greenland,Greenland-1.0,Greenland-975.0
2,2,1,11.0,1,13,186,143.87,Greenland,Greenland-1.0,Greenland-975.0
2,2,1,15.0,2,13,186,143.87,Central Africa; Sahel East,Central Africa; Sahel East-2.0; 1.0,Central Africa; Sahel East-500.0; 0.0
2,2,1,15.0,2,13,186,143.87,Central Africa; Sahel East,Central Africa; Sahel East-2.0; 1.0,Central Africa; Sahel East-500.0; 0.0
2,2,1,15.0,2,13,186,143.87,Sahel East; Central Africa,Sahel East; Central Africa-1.0; 2.0,Sahel East; Central Africa-0.0; 500.0
2,2,1,11.0,1,13,186,143.87,Greenland,Greenland-1.0,Greenland-975.0
2,2,1,15.0,2,13,186,143.87,Central Africa; Sahel East,Central Africa; Sahel East-2.0; 1.0,Central Africa; Sahel East-500.0; 0.0
3,2,1,7.0,1,13,158,139.28,Central Africa,Central Africa-2.0,Central Africa-500.0
3,2,1,11.0,1,13,158,139.28,Greenland,Greenland-1.0,Greenland-975.0
4,2,1,11.0,1,13,173,144.96,Greenland,Greenland-1.0,Greenland-975.0
4,2,1,15.0,2,13,173,144.96,Sahel East; Central Africa,Sahel East; Central Africa-1.0; 2.0,Sahel East; Central Africa-0.0; 500.0
0,2,2,7.0,1,15,210,132.47,Saudi-Arabia,Saudi-Arabia-2.0,Saudi-Arabia-560.0
0,2,2,7.0,1,15,210,132.47,Lesser Antilles,Lesser Antilles-1.0,Lesser Antilles-575.0
0,2,2,6.0,1,15,210,132.47,Bahamas  Turks and Caicos Islands,Bahamas  Turks and Caicos Islands-1.0,Bahamas  Turks and Caicos Islands-725.0
1,2,2,7.0,1,15,152,132.51,Lesser Antilles,Lesser Antilles-1.0,Lesser Antilles-575.0
1,2,2,7.0,1,15,152,132.51,Lesser Antilles,Lesser Antilles-1.0,Lesser Antilles-575.0
2,2,2,13.0,2,15,164,161.61,Saudi-Arabia; Iraq and Kuwait,Saudi-Arabia; Iraq and Kuwait-2.0; 2.0,Saudi-Arabia; Iraq and Kuwait-560.0; 420.0
2,2,2,13.0,2,15,164,161.61,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
3,2,2,6.0,1,15,210,147.98,Bahamas  Turks and Caicos Islands,Bahamas  Turks and Caicos Islands-1.0,Bahamas  Turks and Caicos Islands-725.0
3,2,2,13.0,2,15,210,147.98,Iraq and Kuwait; Saudi-Arabia,Iraq and Kuwait; Saudi-Arabia-2.0; 2.0,Iraq and Kuwait; Saudi-Arabia-420.0; 560.0
3,2,2,13.0,2,15,210,147.98,Iraq and Kuwait; Saudi-Arabia,Iraq and Kuwait; Saudi-Arabia-2.0; 2.0,Iraq and Kuwait; Saudi-Arabia-420.0; 560.0
4,2,2,13.0,2,15,195,216.12,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
4,2,2,13.0,2,15,195,216.12,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
4,2,2,13.0,2,15,195,216.12,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
4,2,2,13.0,2,15,195,216.12,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
4,2,2,13.0,2,15,195,216.12,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
4,2,2,13.0,2,15,195,216.12,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
