Nrun,Variant,Input,Score,Nregions,EvaluatedRegions,EvaluatedCombinations,Totaltime,SuggestedRegions,SuggestedDuration,SuggestedBudget
0,1,1,21.0,1,127,266,64.42,Paraguay,Paraguay-1.0,Paraguay-400.0
0,1,1,23.0,1,127,266,64.42,Bhutan,Bhutan-1.0,Bhutan-250.0
0,1,1,37.0,2,127,266,64.42,Jordan and Palestina; Iran,Jordan and Palestina; Iran-1.0; 2.0,Jordan and Palestina; Iran-350.0; 350.0
0,1,1,19.0,1,127,266,64.42,Comoros  Mayotte  Mauritius  Reunion,Comoros  Mayotte  Mauritius  Reunion-1.0,Comoros  Mayotte  Mauritius  Reunion-525.0
0,1,1,35.0,2,127,266,64.42,Jordan and Palestina; Israel,Jordan and Palestina; Israel-1.0; 1.0,Jordan and Palestina; Israel-350.0; 420.0
1,1,1,41.0,2,131,239,64.27,USA South; USA Alaska,USA South; USA Alaska-1.0; 1.0,USA South; USA Alaska-0.0; 975.0
1,1,1,19.0,1,131,239,64.27,Lebanon and Syria,Lebanon and Syria-1.0,Lebanon and Syria-350.0
1,1,1,21.0,1,131,239,64.27,Patagonia,Patagonia-2.0,Patagonia-625.0
2,1,1,18.0,1,130,276,87.42,Venezuela,Venezuela-1.0,Venezuela-390.0
2,1,1,21.0,1,130,276,87.42,Mongolia,Mongolia-2.0,Mongolia-350.0
2,1,1,37.0,2,130,276,87.42,Maldives; Sri Lanka,Maldives; Sri Lanka-1.0; 1.0,Maldives; Sri Lanka-0.0; 360.0
2,1,1,34.0,2,130,276,87.42,West Malaysia and Singapur; Myanmar,West Malaysia and Singapur; Myanmar-1.0; 2.0,West Malaysia and Singapur; Myanmar-510.0; 450.0
2,1,1,19.0,1,130,276,87.42,Egypt,Egypt-1.0,Egypt-415.0
3,1,1,19.0,1,115,254,69.45,Honduras and El Salvador,Honduras and El Salvador-1.0,Honduras and El Salvador-250.0
3,1,1,36.0,2,115,254,69.45,Mozambique and Zimbabwe; Namibia,Mozambique and Zimbabwe; Namibia-1.0; 1.0,Mozambique and Zimbabwe; Namibia-350.0; 385.0
3,1,1,16.0,1,115,254,69.45,Israel,Israel-1.0,Israel-420.0
3,1,1,21.0,1,115,254,69.45,Paraguay,Paraguay-1.0,Paraguay-400.0
4,1,1,42.0,2,119,195,62.43,North Korea; Taiwan,North Korea; Taiwan-1.0; 1.0,North Korea; Taiwan-0.0; 510.0
4,1,1,19.0,1,119,195,62.43,Chile North and Central,Chile North and Central-2.0,Chile North and Central-400.0
0,1,2,22.0,2,130,366,70.07,Bhutan; India,Bhutan; India-1.0; 1.0,Bhutan; India-250.0; 350.0
0,1,2,25.0,2,130,366,70.07,USA Great Plains; USA Alaska,USA Great Plains; USA Alaska-1.0; 1.0,USA Great Plains; USA Alaska-0.0; 975.0
0,1,2,22.0,2,130,366,70.07,Bolivia; Uruguay,Bolivia; Uruguay-1.0; 1.0,Bolivia; Uruguay-310.0; 400.0
0,1,2,11.0,1,130,366,70.07,West Malaysia and Singapur,West Malaysia and Singapur-1.0,West Malaysia and Singapur-510.0
1,1,2,11.0,1,124,210,70.18,Myanmar,Myanmar-2.0,Myanmar-450.0
1,1,2,21.0,2,124,210,70.18,Colombia; Uruguay,Colombia; Uruguay-2.0; 1.0,Colombia; Uruguay-350.0; 400.0
1,1,2,18.0,2,124,210,70.18,East Asia; South Asia,East Asia; South Asia-1.0; 1.0,East Asia; South Asia-450.0; 0.0
2,1,2,21.0,2,137,265,72.97,Venezuela; Argentina,Venezuela; Argentina-1.0; 1.0,Venezuela; Argentina-390.0; 400.0
2,1,2,23.0,2,137,265,72.97,Venezuela; Chile North and Central,Venezuela; Chile North and Central-1.0; 2.0,Venezuela; Chile North and Central-390.0; 400.0
2,1,2,20.0,2,137,265,72.97,Lebanon and Syria; Israel,Lebanon and Syria; Israel-1.0; 1.0,Lebanon and Syria; Israel-350.0; 420.0
2,1,2,11.0,1,137,265,72.97,Panama,Panama-1.0,Panama-400.0
2,1,2,20.0,2,137,265,72.97,Chile North and Central; Argentina,Chile North and Central; Argentina-2.0; 1.0,Chile North and Central; Argentina-400.0; 400.0
2,1,2,21.0,2,137,265,72.97,Thailand South; Myanmar,Thailand South; Myanmar-1.0; 2.0,Thailand South; Myanmar-375.0; 450.0
3,1,2,23.0,2,135,290,74.15,Ecuador; Patagonia,Ecuador; Patagonia-1.0; 2.0,Ecuador; Patagonia-350.0; 625.0
3,1,2,21.0,2,135,290,74.15,Indonesia; Thailand North and Laos,Indonesia; Thailand North and Laos-2.0; 1.0,Indonesia; Thailand North and Laos-400.0; 360.0
3,1,2,21.0,2,135,290,74.15,Jordan and Palestina; Lebanon and Syria,Jordan and Palestina; Lebanon and Syria-1.0; 1.0,Jordan and Palestina; Lebanon and Syria-350.0; 350.0
4,1,2,10.0,1,134,212,71.35,United Arab Emirates,United Arab Emirates-1.0,United Arab Emirates-525.0
4,1,2,18.0,2,134,212,71.35,Southern Europe; British Islands,Southern Europe; British Islands-1.0; 1.0,Southern Europe; British Islands-350.0; 420.0
4,1,2,11.0,1,134,212,71.35,Qatar and Bahrain,Qatar and Bahrain-1.0,Qatar and Bahrain-525.0
