Individual,Run,Variant,Input,Feasibility
0,0,1,1,Infeasible
1,0,1,1,Infeasible
2,0,1,1,Infeasible
3,0,1,1,Infeasible
4,0,1,1,Infeasible
5,0,1,1,Infeasible
6,0,1,1,Infeasible
7,0,1,1,Infeasible
8,0,1,1,Infeasible
9,0,1,1,Infeasible
10,0,1,1,Infeasible
11,0,1,1,Infeasible
12,0,1,1,Infeasible
13,0,1,1,Infeasible
14,0,1,1,Infeasible
15,0,1,1,Infeasible
16,0,1,1,Infeasible
17,0,1,1,Infeasible
18,0,1,1,Infeasible
19,0,1,1,Infeasible
20,0,1,1,Infeasible
21,0,1,1,Infeasible
22,0,1,1,Infeasible
23,0,1,1,Infeasible
24,0,1,1,Infeasible
25,0,1,1,Infeasible
26,0,1,1,Infeasible
27,0,1,1,Infeasible
28,0,1,1,Infeasible
29,0,1,1,Infeasible
30,0,1,1,Infeasible
31,0,1,1,Infeasible
32,0,1,1,Infeasible
33,0,1,1,Infeasible
34,0,1,1,Infeasible
35,0,1,1,Infeasible
36,0,1,1,Infeasible
37,0,1,1,Infeasible
38,0,1,1,Infeasible
39,0,1,1,Infeasible
40,0,1,1,Infeasible
41,0,1,1,Infeasible
42,0,1,1,Infeasible
43,0,1,1,Infeasible
44,0,1,1,Infeasible
45,0,1,1,Infeasible
46,0,1,1,Infeasible
47,0,1,1,Infeasible
48,0,1,1,Infeasible
49,0,1,1,Infeasible
50,0,1,1,Infeasible
51,0,1,1,Infeasible
52,0,1,1,Infeasible
53,0,1,1,Infeasible
54,0,1,1,Infeasible
55,0,1,1,Infeasible
56,0,1,1,Infeasible
57,0,1,1,Infeasible
58,0,1,1,Infeasible
59,0,1,1,Infeasible
60,0,1,1,Infeasible
61,0,1,1,Infeasible
62,0,1,1,Infeasible
63,0,1,1,Infeasible
64,0,1,1,Infeasible
65,0,1,1,Infeasible
66,0,1,1,Infeasible
67,0,1,1,Infeasible
68,0,1,1,Infeasible
69,0,1,1,Infeasible
70,0,1,1,Infeasible
71,0,1,1,Infeasible
72,0,1,1,Infeasible
73,0,1,1,Infeasible
74,0,1,1,Infeasible
75,0,1,1,Infeasible
76,0,1,1,Infeasible
77,0,1,1,Infeasible
78,0,1,1,Infeasible
79,0,1,1,Infeasible
80,0,1,1,Infeasible
81,0,1,1,Infeasible
82,0,1,1,Infeasible
83,0,1,1,Infeasible
84,0,1,1,Infeasible
85,0,1,1,Infeasible
86,0,1,1,Infeasible
87,0,1,1,Infeasible
88,0,1,1,Infeasible
89,0,1,1,Infeasible
90,0,1,1,Infeasible
91,0,1,1,Infeasible
0,0,1,2,Infeasible
1,0,1,2,Infeasible
2,0,1,2,Infeasible
3,0,1,2,Infeasible
4,0,1,2,Infeasible
5,0,1,2,Infeasible
6,0,1,2,Infeasible
7,0,1,2,Infeasible
8,0,1,2,Infeasible
9,0,1,2,Infeasible
10,0,1,2,Infeasible
11,0,1,2,Infeasible
12,0,1,2,Infeasible
13,0,1,2,Infeasible
14,0,1,2,Infeasible
15,0,1,2,Infeasible
16,0,1,2,Infeasible
17,0,1,2,Infeasible
18,0,1,2,Infeasible
19,0,1,2,Infeasible
20,0,1,2,Infeasible
21,0,1,2,Infeasible
22,0,1,2,Infeasible
23,0,1,2,Infeasible
24,0,1,2,Infeasible
25,0,1,2,Infeasible
26,0,1,2,Infeasible
27,0,1,2,Feasible
28,0,1,2,Infeasible
29,0,1,2,Infeasible
30,0,1,2,Infeasible
31,0,1,2,Infeasible
32,0,1,2,Infeasible
33,0,1,2,Infeasible
34,0,1,2,Infeasible
35,0,1,2,Infeasible
36,0,1,2,Infeasible
37,0,1,2,Infeasible
38,0,1,2,Infeasible
39,0,1,2,Infeasible
40,0,1,2,Infeasible
41,0,1,2,Infeasible
42,0,1,2,Infeasible
43,0,1,2,Infeasible
44,0,1,2,Infeasible
45,0,1,2,Infeasible
46,0,1,2,Infeasible
47,0,1,2,Infeasible
48,0,1,2,Infeasible
49,0,1,2,Infeasible
50,0,1,2,Infeasible
51,0,1,2,Infeasible
52,0,1,2,Infeasible
53,0,1,2,Infeasible
54,0,1,2,Infeasible
55,0,1,2,Infeasible
56,0,1,2,Infeasible
57,0,1,2,Infeasible
58,0,1,2,Infeasible
59,0,1,2,Infeasible
60,0,1,2,Infeasible
61,0,1,2,Infeasible
62,0,1,2,Infeasible
63,0,1,2,Infeasible
64,0,1,2,Infeasible
65,0,1,2,Infeasible
66,0,1,2,Infeasible
67,0,1,2,Infeasible
68,0,1,2,Infeasible
69,0,1,2,Infeasible
70,0,1,2,Infeasible
71,0,1,2,Infeasible
72,0,1,2,Infeasible
73,0,1,2,Infeasible
74,0,1,2,Infeasible
75,0,1,2,Infeasible
76,0,1,2,Infeasible
77,0,1,2,Infeasible
78,0,1,2,Infeasible
79,0,1,2,Infeasible
80,0,1,2,Infeasible
81,0,1,2,Infeasible
82,0,1,2,Infeasible
83,0,1,2,Infeasible
84,0,1,2,Infeasible
85,0,1,2,Infeasible
86,0,1,2,Infeasible
87,0,1,2,Infeasible
88,0,1,2,Infeasible
89,0,1,2,Infeasible
90,0,1,2,Infeasible
91,0,1,2,Infeasible
0,0,1,3,Infeasible
1,0,1,3,Infeasible
2,0,1,3,Infeasible
3,0,1,3,Infeasible
4,0,1,3,Infeasible
5,0,1,3,Infeasible
6,0,1,3,Infeasible
7,0,1,3,Infeasible
8,0,1,3,Infeasible
9,0,1,3,Infeasible
10,0,1,3,Infeasible
11,0,1,3,Infeasible
12,0,1,3,Infeasible
13,0,1,3,Infeasible
14,0,1,3,Infeasible
15,0,1,3,Infeasible
16,0,1,3,Infeasible
17,0,1,3,Infeasible
18,0,1,3,Infeasible
19,0,1,3,Infeasible
20,0,1,3,Infeasible
21,0,1,3,Infeasible
22,0,1,3,Infeasible
23,0,1,3,Infeasible
24,0,1,3,Infeasible
25,0,1,3,Infeasible
26,0,1,3,Infeasible
27,0,1,3,Infeasible
28,0,1,3,Infeasible
29,0,1,3,Infeasible
30,0,1,3,Infeasible
31,0,1,3,Infeasible
32,0,1,3,Infeasible
33,0,1,3,Infeasible
34,0,1,3,Infeasible
35,0,1,3,Infeasible
36,0,1,3,Infeasible
37,0,1,3,Infeasible
38,0,1,3,Infeasible
39,0,1,3,Infeasible
40,0,1,3,Infeasible
41,0,1,3,Infeasible
42,0,1,3,Infeasible
43,0,1,3,Infeasible
44,0,1,3,Infeasible
45,0,1,3,Infeasible
46,0,1,3,Infeasible
47,0,1,3,Infeasible
48,0,1,3,Infeasible
49,0,1,3,Infeasible
50,0,1,3,Infeasible
51,0,1,3,Infeasible
52,0,1,3,Infeasible
53,0,1,3,Infeasible
54,0,1,3,Infeasible
55,0,1,3,Feasible
56,0,1,3,Infeasible
57,0,1,3,Infeasible
58,0,1,3,Infeasible
59,0,1,3,Infeasible
60,0,1,3,Infeasible
61,0,1,3,Infeasible
62,0,1,3,Infeasible
63,0,1,3,Infeasible
64,0,1,3,Infeasible
65,0,1,3,Infeasible
66,0,1,3,Infeasible
67,0,1,3,Infeasible
68,0,1,3,Infeasible
69,0,1,3,Infeasible
70,0,1,3,Infeasible
71,0,1,3,Infeasible
72,0,1,3,Infeasible
73,0,1,3,Infeasible
74,0,1,3,Infeasible
75,0,1,3,Infeasible
76,0,1,3,Infeasible
77,0,1,3,Infeasible
78,0,1,3,Infeasible
79,0,1,3,Infeasible
80,0,1,3,Infeasible
81,0,1,3,Infeasible
82,0,1,3,Infeasible
83,0,1,3,Infeasible
84,0,1,3,Infeasible
85,0,1,3,Infeasible
86,0,1,3,Infeasible
87,0,1,3,Infeasible
88,0,1,3,Infeasible
89,0,1,3,Infeasible
90,0,1,3,Infeasible
91,0,1,3,Infeasible
0,1,1,1,Infeasible
1,1,1,1,Infeasible
2,1,1,1,Infeasible
3,1,1,1,Infeasible
4,1,1,1,Infeasible
5,1,1,1,Infeasible
6,1,1,1,Infeasible
7,1,1,1,Infeasible
8,1,1,1,Infeasible
9,1,1,1,Infeasible
10,1,1,1,Infeasible
11,1,1,1,Infeasible
12,1,1,1,Infeasible
13,1,1,1,Infeasible
14,1,1,1,Infeasible
15,1,1,1,Infeasible
16,1,1,1,Infeasible
17,1,1,1,Infeasible
18,1,1,1,Infeasible
19,1,1,1,Infeasible
20,1,1,1,Infeasible
21,1,1,1,Infeasible
22,1,1,1,Infeasible
23,1,1,1,Infeasible
24,1,1,1,Infeasible
25,1,1,1,Infeasible
