Nrun,Variant,Input,Score,Nregions,EvaluatedRegions,EvaluatedCombinations,Totaltime,SuggestedRegions,SuggestedDuration,SuggestedBudget
0,1,1,14.0,2,129,317,155.63,East Asia; Near and Middle East,East Asia; Near and Middle East-1.0; 1.0,East Asia; Near and Middle East-450.0; 0.0
0,1,1,18.0,2,129,317,155.63,Vietnam and Cambodia; Philippines,Vietnam and Cambodia; Philippines-1.0; 2.0,Vietnam and Cambodia; Philippines-375.0; 375.0
0,1,1,-6.0,1,129,317,155.63,Namibia,Namibia-1.0,Namibia-385.0
0,1,1,-1.0,1,129,317,155.63,Bhutan,Bhutan-1.0,Bhutan-250.0
1,1,1,53.0,3,135,191,178.36,USA Great Plains; USA Midwest; USA Alaska,USA Great Plains; USA Midwest; USA Alaska-1.0; 1.0; 1.0,USA Great Plains; USA Midwest; USA Alaska-0.0; 0.0; 975.0
2,1,1,26.0,2,129,226,221.06,North Korea; Taiwan,North Korea; Taiwan-1.0; 1.0,North Korea; Taiwan-0.0; 510.0
2,1,1,-6.0,1,129,226,221.06,Oman and Yemen,Oman and Yemen-1.0,Oman and Yemen-490.0
3,1,1,52.0,3,117,182,242.5,Mexico Bajio and Central Mexico; Northern Mexico; Mexico Yucatan,Mexico Bajio and Central Mexico; Northern Mexico; Mexico Yucatan-1.0; 1.0; 1.0,Mexico Bajio and Central Mexico; Northern Mexico; Mexico Yucatan-0.0; 0.0; 415.0
3,1,1,52.0,3,117,182,242.5,Northern Mexico; Mexico Bajio and Central Mexico; Mexico Yucatan,Northern Mexico; Mexico Bajio and Central Mexico; Mexico Yucatan-1.0; 1.0; 1.0,Northern Mexico; Mexico Bajio and Central Mexico; Mexico Yucatan-0.0; 0.0; 415.0
4,1,1,48.0,3,121,294,186.66,Canada Prairies; Canada Quebec; Canada,Canada Prairies; Canada Quebec; Canada-1.0; 1.0; 1.0,Canada Prairies; Canada Quebec; Canada-0.0; 0.0; 725.0
4,1,1,18.0,2,121,294,186.66,Slovenia and Croatia; Benelux,Slovenia and Croatia; Benelux-1.0; 1.0,Slovenia and Croatia; Benelux-350.0; 420.0
4,1,1,26.0,2,121,294,186.66,Bhutan; Pakistan,Bhutan; Pakistan-1.0; 1.0,Bhutan; Pakistan-250.0; 400.0
5,1,1,-6.0,1,121,292,143.72,Tunisia,Tunisia-1.0,Tunisia-375.0
5,1,1,21.0,2,121,292,143.72,Jordan and Palestina; Qatar and Bahrain,Jordan and Palestina; Qatar and Bahrain-1.0; 1.0,Jordan and Palestina; Qatar and Bahrain-350.0; 525.0
5,1,1,-6.0,1,121,292,143.72,Madagascar,Madagascar-2.0,Madagascar-350.0
6,1,1,-1.0,1,131,343,149.92,Central Africa,Central Africa-2.0,Central Africa-500.0
6,1,1,24.0,2,131,343,149.92,Bolivia; Guianas,Bolivia; Guianas-1.0; 1.0,Bolivia; Guianas-310.0; 525.0
6,1,1,-4.0,1,131,343,149.92,China Northwest (Shaanxi to Xinjiang),China Northwest (Shaanxi to Xinjiang)-1.0,China Northwest (Shaanxi to Xinjiang)-500.0
7,1,1,22.0,2,132,394,157.5,Thailand South; West Malaysia and Singapur,Thailand South; West Malaysia and Singapur-1.0; 1.0,Thailand South; West Malaysia and Singapur-375.0; 510.0
7,1,1,52.0,3,132,394,157.5,USA South; USA Great Plains; USA,USA South; USA Great Plains; USA-1.0; 1.0; 1.0,USA South; USA Great Plains; USA-0.0; 0.0; 600.0
7,1,1,22.0,2,132,394,157.5,Guianas; Venezuela,Guianas; Venezuela-1.0; 1.0,Guianas; Venezuela-525.0; 390.0
8,1,1,22.0,2,135,305,156.47,West Africa; Sahel West,West Africa; Sahel West-1.0; 1.0,West Africa; Sahel West-500.0; 0.0
8,1,1,19.0,2,135,305,156.47,Sahel West; East Africa,Sahel West; East Africa-1.0; 2.0,Sahel West; East Africa-0.0; 350.0
8,1,1,17.0,2,135,305,156.47,West Africa; East Africa,West Africa; East Africa-1.0; 2.0,West Africa; East Africa-500.0; 350.0
8,1,1,18.0,2,135,305,156.47,Algeria; Morocco,Algeria; Morocco-1.0; 1.0,Algeria; Morocco-450.0; 390.0
9,1,1,-6.0,1,125,257,139.05,Iraq and Kuwait,Iraq and Kuwait-2.0,Iraq and Kuwait-420.0
9,1,1,-5.0,1,125,257,139.05,Cuba,Cuba-1.0,Cuba-350.0
9,1,1,-1.0,1,125,257,139.05,Bhutan,Bhutan-1.0,Bhutan-250.0
9,1,1,-5.0,1,125,257,139.05,Cuba,Cuba-1.0,Cuba-350.0
0,1,2,-12.0,1,136,356,147.09,Mexico Yucatan,Mexico Yucatan-1.0,Mexico Yucatan-415.0
0,1,2,-13.0,1,136,356,147.09,Namibia,Namibia-1.0,Namibia-385.0
0,1,2,-15.0,1,136,356,147.09,Mongolia,Mongolia-2.0,Mongolia-350.0
0,1,2,-12.0,1,136,356,147.09,France,France-1.0,France-420.0
1,1,2,4.0,2,135,344,158.65,Benelux; Germany,Benelux; Germany-1.0; 1.0,Benelux; Germany-420.0; 420.0
1,1,2,19.0,3,135,344,158.65,Near and Middle East; East Asia; Central Asia,Near and Middle East; East Asia; Central Asia-1.0; 1.0; 1.0,Near and Middle East; East Asia; Central Asia-0.0; 450.0; 350.0
2,1,2,6.0,2,130,270,152.7,Honduras and El Salvador; Costa Rica,Honduras and El Salvador; Costa Rica-1.0; 1.0,Honduras and El Salvador; Costa Rica-250.0; 400.0
2,1,2,-12.0,1,130,270,152.7,Taiwan,Taiwan-1.0,Taiwan-510.0
3,1,2,6.0,2,133,398,158.96,Colombia; Ecuador,Colombia; Ecuador-2.0; 1.0,Colombia; Ecuador-350.0; 350.0
3,1,2,7.0,2,133,398,158.96,Venezuela; Colombia,Venezuela; Colombia-1.0; 2.0,Venezuela; Colombia-390.0; 350.0
3,1,2,7.0,2,133,398,158.96,Venezuela; Ecuador,Venezuela; Ecuador-1.0; 1.0,Venezuela; Ecuador-390.0; 350.0
3,1,2,-12.0,1,133,398,158.96,Bahamas  Turks and Caicos Islands,Bahamas  Turks and Caicos Islands-1.0,Bahamas  Turks and Caicos Islands-725.0
4,1,2,5.0,2,132,334,151.06,USA Texas; USA,USA Texas; USA-1.0; 1.0,USA Texas; USA-0.0; 600.0
4,1,2,-14.0,1,132,334,151.06,Slovenia and Croatia,Slovenia and Croatia-1.0,Slovenia and Croatia-350.0
4,1,2,-12.0,1,132,334,151.06,China Southwest (Guangxi to Tibet),China Southwest (Guangxi to Tibet)-1.0,China Southwest (Guangxi to Tibet)-500.0
4,1,2,-15.0,1,132,334,151.06,Central Asia,Central Asia-1.0,Central Asia-350.0
5,1,2,7.0,2,127,295,164.82,Madagascar; Botswana,Madagascar; Botswana-2.0; 1.0,Madagascar; Botswana-350.0; 560.0
5,1,2,4.0,2,127,295,164.82,Oman and Yemen; Israel,Oman and Yemen; Israel-1.0; 1.0,Oman and Yemen; Israel-490.0; 420.0
5,1,2,4.0,2,127,295,164.82,United Arab Emirates; Israel,United Arab Emirates; Israel-1.0; 1.0,United Arab Emirates; Israel-525.0; 420.0
6,1,2,23.0,3,128,292,150.07,Mexico Yucatan; Mexico; Northern Mexico,Mexico Yucatan; Mexico; Northern Mexico-1.0; 1.0; 1.0,Mexico Yucatan; Mexico; Northern Mexico-415.0; 375.0; 0.0
6,1,2,-13.0,1,128,292,150.07,Libya,Libya-1.0,Libya-500.0
7,1,2,8.0,2,134,256,147.59,Uruguay; Peru,Uruguay; Peru-1.0; 2.0,Uruguay; Peru-400.0; 350.0
7,1,2,-14.0,1,134,256,147.59,Honduras and El Salvador,Honduras and El Salvador-1.0,Honduras and El Salvador-250.0
8,1,2,-12.0,1,136,357,137.96,Bahamas  Turks and Caicos Islands,Bahamas  Turks and Caicos Islands-1.0,Bahamas  Turks and Caicos Islands-725.0
8,1,2,-10.0,1,136,357,137.96,Peru,Peru-2.0,Peru-350.0
8,1,2,-12.0,1,136,357,137.96,Melanesia,Melanesia-1.0,Melanesia-750.0
9,1,2,-13.0,1,129,264,145.33,West Africa,West Africa-1.0,West Africa-500.0
9,1,2,-13.0,1,129,264,145.33,Vietnam and Cambodia,Vietnam and Cambodia-1.0,Vietnam and Cambodia-375.0
0,1,3,-5.0,1,124,317,137.93,Bahamas  Turks and Caicos Islands,Bahamas  Turks and Caicos Islands-1.0,Bahamas  Turks and Caicos Islands-725.0
0,1,3,-8.0,1,124,317,137.93,Venezuela,Venezuela-1.0,Venezuela-390.0
0,1,3,-5.0,1,124,317,137.93,Vietnam and Cambodia,Vietnam and Cambodia-1.0,Vietnam and Cambodia-375.0
