Timestamp,Travel Experience,Travel Planning,Travel Preferences,Trust Level,Question ID,Value,Labels,InputCategory,Variant,Wording
4/8/2022 17:35:43,Advanced,Advanced,Culture; Watersports; Cities & Architecture; Nature & Wildlife; Entertainment; Beach,No Trust,Q_1_1_E,2,Disagree,Beach; Watersports; Entertainment; Culinary;,Variant 1,The recommended regions matched the input preferences
4/8/2022 17:46:02,Average,Advanced,Culture; Cities & Architecture; Nature & Wildlife,Average Trust,Q_1_1_E,3,Neutral,Beach; Watersports; Entertainment; Culinary;,Variant 1,The recommended regions matched the input preferences
4/8/2022 17:49:39,Average,Average,Nature & Wildlife,High Trust,Q_1_1_E,3,Neutral,Beach; Watersports; Entertainment; Culinary;,Variant 1,The recommended regions matched the input preferences
4/8/2022 18:20:36,Average,Average,Culture; Culinary; Cities & Architecture; Nature & Wildlife; Beach,Average Trust,Q_1_1_E,3,Neutral,Beach; Watersports; Entertainment; Culinary;,Variant 1,The recommended regions matched the input preferences
4/8/2022 18:23:57,Average,Average,Culture; Culinary; Cities & Architecture; Entertainment; Beach,Average Trust,Q_1_1_E,3,Neutral,Beach; Watersports; Entertainment; Culinary;,Variant 1,The recommended regions matched the input preferences
4/8/2022 18:24:01,Basic,Average,Culture; Cities & Architecture; Nature & Wildlife,Average Trust,Q_1_1_E,2,Disagree,Beach; Watersports; Entertainment; Culinary;,Variant 1,The recommended regions matched the input preferences
4/8/2022 18:24:39,Advanced,Advanced,Culture; Culinary; Cities & Architecture; Nature & Wildlife; Beach,Average Trust,Q_1_1_E,2,Disagree,Beach; Watersports; Entertainment; Culinary;,Variant 1,The recommended regions matched the input preferences
4/8/2022 18:38:31,Advanced,Advanced,Culture; Culinary; Cities & Architecture; Nature & Wildlife; Entertainment; Beach,High Trust,Q_1_1_E,3,Neutral,Beach; Watersports; Entertainment; Culinary;,Variant 1,The recommended regions matched the input preferences
4/8/2022 19:34:18,Advanced,Advanced,Culture; Culinary; Cities & Architecture; Shopping; Nature & Wildlife; Entertainment; Beach,Average Trust,Q_1_1_E,4,Agree,Beach; Watersports; Entertainment; Culinary;,Variant 1,The recommended regions matched the input preferences
4/8/2022 19:44:12,Advanced,Advanced,Culture; Culinary; Watersports; Cities & Architecture; Nature & Wildlife; Beach,Average Trust,Q_1_1_E,3,Neutral,Beach; Watersports; Entertainment; Culinary;,Variant 1,The recommended regions matched the input preferences
4/8/2022 19:46:19,Advanced,Advanced,Watersports; Cities & Architecture; Entertainment; Beach,High Trust,Q_1_1_E,3,Neutral,Beach; Watersports; Entertainment; Culinary;,Variant 1,The recommended regions matched the input preferences
4/8/2022 19:53:24,Basic,Basic,Cities & Architecture; Beach,No Trust,Q_1_1_E,3,Neutral,Beach; Watersports; Entertainment; Culinary;,Variant 1,The recommended regions matched the input preferences
4/8/2022 20:00:57,Basic,Advanced,Culture; Culinary; Cities & Architecture; Nature & Wildlife; Entertainment,No Trust,Q_1_1_E,5,Strongly Agree,Beach; Watersports; Entertainment; Culinary;,Variant 1,The recommended regions matched the input preferences
